data;
param numTeams := 10;

param dist := 
	1 1 0
	1 2 745
	1 3 665
	1 4 929
	1 5 605
	1 6 521
	1 7 370
	1 8 587
	1 9 467
	1 10 670
	2 1 745
	2 2 0
	2 3 80
	2 4 337
	2 5 1090
	2 6 315
	2 7 567
	2 8 712
	2 9 871
	2 10 741
	3 1 665
	3 2 80
	3 3 0
	3 4 380
	3 5 1020
	3 6 257
	3 7 501
	3 8 664
	3 9 808
	3 10 697
	4 1 929
	4 2 337
	4 3 380
	4 4 0
	4 5 1380
	4 6 408
	4 7 622
	4 8 646
	4 9 878
	4 10 732
	5 1 605
	5 2 1090
	5 3 1020
	5 4 1380
	5 5 0
	5 6 1010
	5 7 957
	5 8 1190
	5 9 1060
	5 10 1270
	6 1 521
	6 2 315
	6 3 257
	6 4 408
	6 5 1010
	6 6 0
	6 7 253
	6 8 410
	6 9 557
	6 10 451
	7 1 370
	7 2 567
	7 3 501
	7 4 622
	7 5 957
	7 6 253
	7 7 0
	7 8 250
	7 9 311
	7 10 325
	8 1 587
	8 2 712
	8 3 664
	8 4 646
	8 5 1190
	8 6 410
	8 7 250
	8 8 0
	8 9 260
	8 10 86
	9 1 467
	9 2 871
	9 3 808
	9 4 878
	9 5 1060
	9 6 557
	9 7 311
	9 8 260
	9 9 0
	9 10 328
	10 1 670
	10 2 741
	10 3 697
	10 4 732
	10 5 1270
	10 6 451
	10 7 325
	10 8 86
	10 9 328
	10 10 0
;

end;
