data;
param T_size := 8

param dist :=
	1 1 0
	1 2 745
	1 3 665
	1 4 929
	1 5 605
	1 6 521
	1 7 370
	1 8 587
	2 1 745
	2 2 0
	2 3 80
	2 4 337
	2 5 1090
	2 6 315
	2 7 567
	2 8 712
	3 1 665
	3 2 80
	3 3 0
	3 4 380
	3 5 1020
	3 6 257
	3 7 501
	3 8 664
	4 1 929
	4 2 337
	4 3 380
	4 4 0
	4 5 1380
	4 6 408
	4 7 622
	4 8 646
	5 1 605
	5 2 1090
	5 3 1020
	5 4 1380
	5 5 0
	5 6 1010
	5 7 957
	5 8 1190
	6 1 521
	6 2 315
	6 3 257
	6 4 408
	6 5 1010
	6 6 0
	6 7 253
	6 8 410
	7 1 370
	7 2 567
	7 3 501
	7 4 622
	7 5 957
	7 6 253
	7 7 0
	7 8 250
	8 1 587
	8 2 712
	8 3 664
	8 4 646
	8 5 1190
	8 6 410
	8 7 250
	8 8 0

end;
